rank,p_c,p_m,p_ls,best_fitness,best_generation,elapsed_seconds
1,0.800000,0.120000,0.100000,1136.198485,3709,274.838
2,0.800000,0.120000,0.050000,1151.674347,3228,97.574
3,0.800000,0.070000,0.050000,1183.137074,8238,103.569
4,0.800000,0.070000,0.200000,1391.888522,3398,448.884
5,0.800000,0.030000,0.200000,1466.620265,4989,384.027
6,0.800000,0.030000,0.050000,1528.586795,6311,92.072
7,0.800000,0.120000,0.200000,1535.528665,3939,337.774
8,0.800000,0.070000,0.100000,1536.727746,8141,212.382
9,0.800000,0.030000,0.100000,1537.814996,5001,223.011
10,0.900000,0.120000,0.100000,1663.284035,9903,73.493
11,0.900000,0.120000,0.050000,1750.421494,9755,61.469
12,0.900000,0.070000,0.100000,1869.992776,9791,69.500
13,0.900000,0.120000,0.200000,1933.341709,9919,106.575
14,0.900000,0.070000,0.050000,2113.472682,9991,61.814
15,0.900000,0.070000,0.200000,2134.634450,9866,105.221
16,0.900000,0.030000,0.200000,2418.590091,9782,105.043
17,0.900000,0.030000,0.100000,2425.355214,9811,71.844
18,0.980000,0.120000,0.050000,2519.858030,9863,57.725
19,0.980000,0.120000,0.100000,2561.385174,9642,73.387
20,0.980000,0.120000,0.200000,2574.347532,9911,100.167
21,0.900000,0.030000,0.050000,2628.215091,9982,61.398
22,0.980000,0.070000,0.100000,2790.081847,9490,70.251
23,0.980000,0.030000,0.200000,2818.462898,9773,108.123
24,0.980000,0.070000,0.200000,2892.236321,9355,114.464
25,0.980000,0.030000,0.050000,2949.094170,9639,57.658
26,0.980000,0.070000,0.050000,2971.519223,9978,60.641
27,0.980000,0.030000,0.100000,3038.322970,9350,73.956
