generation,best_total_travel
0,655.658331
1,651.663290
2,649.282794
3,624.661564
4,623.036284
5,623.036284
6,623.036284
7,623.036284
8,618.764136
9,618.764136
10,618.764136
11,615.433703
12,615.433703
13,604.118264
14,601.351732
15,601.351732
16,601.351732
17,601.351732
18,595.605373
19,593.181837
20,591.556557
21,591.556557
22,591.556557
23,591.556557
24,591.556557
25,591.556557
26,591.556557
27,591.556557
28,591.556557
29,591.556557
30,591.556557
31,591.556557
32,591.556557
33,591.556557
34,591.556557
35,591.556557
36,591.556557
37,591.556557
38,591.556557
39,591.556557
40,591.556557
41,591.556557
42,591.556557
43,591.556557
44,591.556557
45,591.556557
46,591.556557
47,591.556557
48,591.556557
49,591.556557
50,591.556557
51,591.556557
52,591.556557
53,591.556557
54,591.556557
55,591.556557
56,591.556557
57,591.556557
58,591.556557
59,591.556557
60,591.556557
61,591.556557
62,591.556557
63,591.556557
64,591.556557
65,591.556557
66,591.556557
67,591.556557
68,591.556557
69,591.556557
70,591.556557
71,591.556557
72,591.556557
73,591.556557
74,591.556557
75,591.556557
76,591.556557
77,591.556557
78,591.556557
79,591.556557
80,591.556557
81,591.556557
82,591.556557
83,591.556557
84,591.556557
85,591.556557
86,591.556557
87,591.556557
88,591.556557
89,591.556557
90,591.556557
91,591.556557
92,591.556557
93,591.556557
94,591.556557
95,591.556557
96,591.556557
97,591.556557
98,591.556557
99,591.556557
100,591.556557
101,591.556557
102,591.556557
103,591.556557
104,591.556557
105,591.556557
106,591.556557
107,591.556557
108,591.556557
109,591.556557
110,591.556557
111,591.556557
112,591.556557
113,591.556557
114,591.556557
115,591.556557
116,591.556557
117,591.556557
118,591.556557
119,591.556557
120,591.556557
121,591.556557
122,591.556557
123,591.556557
124,591.556557
125,591.556557
126,591.556557
127,591.556557
128,591.556557
129,591.556557
130,591.556557
131,591.556557
132,591.556557
133,591.556557
134,591.556557
135,591.556557
136,591.556557
137,591.556557
138,591.556557
139,591.556557
140,591.556557
141,591.556557
142,591.556557
143,591.556557
144,591.556557
145,591.556557
146,591.556557
147,591.556557
148,591.556557
149,591.556557
150,591.556557
151,591.556557
152,591.556557
153,591.556557
154,591.556557
155,591.556557
156,591.556557
157,591.556557
158,591.556557
159,591.556557
160,591.556557
161,591.556557
162,591.556557
163,591.556557
164,591.556557
165,591.556557
166,591.556557
167,591.556557
168,591.556557
169,591.556557
170,591.556557
171,591.556557
172,591.556557
173,591.556557
174,591.556557
175,591.556557
176,591.556557
177,591.556557
178,591.556557
179,591.556557
180,591.556557
181,591.556557
182,591.556557
183,591.556557
184,591.556557
185,591.556557
186,591.556557
187,591.556557
188,591.556557
189,591.556557
190,591.556557
191,591.556557
192,591.556557
193,591.556557
194,591.556557
195,591.556557
196,591.556557
197,591.556557
198,591.556557
199,591.556557
200,591.556557
